title,genres,release_date,budget,revenue,id
The Revenant,"Western, Drama, Adventure",2015-12-25,135000000,532950503,281957
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy",2016-03-23,250000000,873637528,209112
The Lion King,"Family, Animation, Drama",1994-06-24,45000000,763455561,8587
Gladiator,"Action, Drama, Adventure",2000-05-04,103000000,465361176,98
The Truman Show,"Comedy, Drama",1998-06-04,60000000,264118201,37165
The Incredibles,"Action, Adventure, Animation, Family",2004-10-27,92000000,631442092,9806
Arrival,"Drama, Science Fiction, Mystery",2016-11-10,47000000,203388186,329865
Parasite,"Comedy, Thriller, Drama",2019-05-30,11363000,257591776,496243
Thor: The Dark World,"Action, Adventure, Fantasy",2013-10-30,170000000,644783140,76338
The Amazing Spider-Man,"Action, Adventure, Fantasy",2012-06-23,215000000,757930663,1930
Split,"Horror, Thriller",2017-01-19,9000000,278454358,381288
Deadpool 2,"Action, Comedy, Adventure",2018-05-10,110000000,785896609,383498
The Shining,"Horror, Thriller",1980-05-23,19000000,44781695,694
Kill Bill: Vol. 1,"Action, Crime",2003-10-10,30000000,180906076,24
The Hunger Games: Catching Fire,"Adventure, Action, Science Fiction",2013-11-15,130000000,865011746,101299
The Intouchables,"Drama, Comedy",2011-11-02,13000000,426588510,77338
Get Out,"Mystery, Thriller, Horror",2017-02-24,4500000,255407969,419430
The Imitation Game,"History, Drama, Thriller, War",2014-11-14,14000000,233555708,205596
Bohemian Rhapsody,"Music, Drama, History",2018-10-24,52000000,903992901,424694
The Green Mile,"Fantasy, Drama, Crime",1999-12-10,60000000,286801374,497
The Maze Runner,"Action, Mystery, Science Fiction, Thriller",2014-09-10,34000000,348319861,198663
The Hangover,Comedy,2009-06-02,35000000,469310836,18785
The Empire Strikes Back,"Adventure, Action, Science Fiction",1980-05-20,18000000,538400000,1891
Shrek,"Animation, Comedy, Fantasy, Adventure, Family",2001-05-18,60000000,487853320,808
Ratatouille,"Animation, Comedy, Family, Fantasy",2007-06-28,150000000,623726000,2062
Kingsman: The Secret Service,"Crime, Comedy, Action, Adventure",2014-12-13,81000000,414351546,207703
La La Land,"Comedy, Drama, Romance, Music",2016-11-29,30000000,447407695,313369
Frozen,"Animation, Family, Adventure, Fantasy",2013-11-20,150000000,1274219009,109445
Dunkirk,"War, Action, Drama",2017-07-19,150000000,527000000,374720
Zootopia,"Animation, Adventure, Family, Comedy",2016-02-11,150000000,1023784195,269149
Lucy,"Action, Science Fiction",2014-07-25,40000000,458863600,240832
Jurassic Park,"Adventure, Science Fiction",1993-06-11,63000000,920100000,329
The Silence of the Lambs,"Crime, Drama, Thriller",1991-02-14,19000000,272742922,274
Spirited Away,"Animation, Family, Fantasy",2001-07-20,19000000,274925095,129
Beauty and the Beast,"Family, Fantasy, Romance",2017-03-16,160000000,1266115964,321612
Pirates of the Caribbean: Dead Man's Chest,"Adventure, Fantasy, Action",2006-07-06,200000000,1065659812,58
Big Hero 6,"Adventure, Family, Animation, Action, Comedy",2014-10-24,165000000,657827828,177572
Now You See Me,"Thriller, Crime",2013-05-29,75000000,351723989,75656
The Hunger Games: Mockingjay - Part 1,"Science Fiction, Adventure, Thriller",2014-11-19,125000000,755356711,131631
Venom,"Science Fiction, Action",2018-09-28,116000000,856085151,335983
The Prestige,"Drama, Mystery, Science Fiction",2006-10-19,40000000,109676311,1124
I Am Legend,"Drama, Science Fiction, Thriller",2007-12-12,150000000,585410052,6479
Saving Private Ryan,"Drama, History, War",1998-07-24,70000000,481840909,857
Captain Marvel,"Action, Adventure, Science Fiction",2019-03-06,152000000,1131416446,299537
Baby Driver,"Action, Crime",2017-06-28,34000000,226945087,339403
Schindler's List,"Drama, History, War",1993-12-15,22000000,321365567,424
Return of the Jedi,"Adventure, Action, Science Fiction",1983-05-25,32350000,572700000,1892
Spider-Man: Far From Home,"Action, Adventure, Science Fiction",2019-06-28,160000000,1131927996,429617
Skyfall,"Action, Adventure, Thriller",2012-10-24,200000000,1142471295,37724
Gravity,"Science Fiction, Thriller, Drama",2013-10-03,105000000,723192705,49047
X-Men: Days of Future Past,"Action, Adventure, Science Fiction",2014-05-15,250000000,747862775,127585
Ready Player One,"Adventure, Action, Science Fiction",2018-03-28,175000000,607274134,333339
World War Z,"Action, Drama, Horror, Science Fiction, Thriller",2013-06-20,200000000,531865000,72190
Catch Me If You Can,"Drama, Crime",2002-12-16,52000000,352114312,640
Rogue One: A Star Wars Story,"Action, Adventure, Science Fiction",2016-12-14,200000000,1056057273,330459
Star Wars: The Last Jedi,"Adventure, Action, Science Fiction",2017-12-13,200000000,1332698830,181808
Man of Steel,"Action, Adventure, Science Fiction",2013-06-12,225000000,668045518,49521
Despicable Me,"Family, Animation, Comedy",2010-07-08,69000000,533679475,20352
Spider-Man 2,"Action, Adventure, Fantasy",2004-06-25,200000000,788976453,558
Spider-Man: Into the Spider-Verse,"Action, Adventure, Animation, Science Fiction",2018-12-06,90000000,375464627,324857
Charlie and the Chocolate Factory,"Adventure, Comedy, Family, Fantasy",2005-07-13,150000000,474968763,118
Whiplash,"Drama, Music",2014-10-10,3300000,13092000,244786
The Departed,"Drama, Thriller, Crime",2006-10-04,90000000,291465000,1422
The Grand Budapest Hotel,"Comedy, Drama",2014-02-26,30000000,174600318,120467
Toy Story 3,"Animation, Family, Comedy",2010-06-16,200000000,1066969703,10193
Memento,"Mystery, Thriller",2000-10-11,9000000,39723096,77
Eternal Sunshine of the Spotless Mind,"Science Fiction, Drama, Romance",2004-03-19,20000000,72258126,38
Léon: The Professional,"Crime, Drama, Action",1994-09-14,16000000,45284974,101
Black Swan,"Drama, Thriller, Horror",2010-12-03,13000000,329398046,44214
V for Vendetta,"Action, Thriller, Science Fiction",2006-02-23,54000000,132511035,752
Star Wars: Episode I - The Phantom Menace,"Adventure, Action, Science Fiction",1999-05-19,115000000,924317558,1893
Her,"Romance, Science Fiction, Drama",2013-12-18,23000000,47351251,152601
Pirates of the Caribbean: At World's End,"Adventure, Fantasy, Action",2007-05-19,300000000,961000000,285
The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy",2014-12-10,250000000,956019788,122917
Reservoir Dogs,"Crime, Thriller",1992-09-02,1200000,2859750,500
The Hateful Eight,"Drama, Mystery, Western",2015-12-25,44000000,155760117,273248
Alien,"Horror, Science Fiction",1979-05-25,11000000,104931801,348
Sherlock Holmes,"Action, Adventure, Crime, Mystery",2009-12-23,90000000,524028679,10528
Alice in Wonderland,"Family, Fantasy, Adventure",2010-03-03,200000000,1025467110,12155
Pirates of the Caribbean: On Stranger Tides,"Adventure, Action, Fantasy",2011-05-15,379000000,1045713802,1865
Spider-Man 3,"Fantasy, Action, Adventure",2007-05-01,258000000,894983373,559
A Quiet Place,"Horror, Drama, Science Fiction",2018-04-03,17000000,341000000,447332
Aquaman,"Action, Adventure, Fantasy",2018-12-07,160000000,1148528393,297802
Kill Bill: Vol. 2,"Action, Crime, Thriller",2004-04-16,30000000,152159461,393
Cars,"Animation, Adventure, Comedy, Family",2006-06-08,120000000,461983149,920
Toy Story 2,"Animation, Comedy, Family",1999-10-30,90000000,497366869,863
Men in Black,"Action, Adventure, Comedy, Science Fiction",1997-07-02,90000000,589390539,607
Edge of Tomorrow,"Action, Science Fiction",2014-05-27,178000000,370541256,137113
300,"Action, Adventure, War",2007-03-07,65000000,456082343,1271
Jumanji: Welcome to the Jungle,"Adventure, Action, Comedy, Fantasy",2017-12-09,90000000,995339117,353486
Blade Runner,"Science Fiction, Drama, Thriller",1982-06-25,28000000,41722424,78
Star Wars: Episode III - Revenge of the Sith,"Adventure, Action, Science Fiction",2005-05-17,113000000,850000000,1895
Hacksaw Ridge,"Drama, History, War",2016-10-07,40000000,175302354,324786
Twilight,"Fantasy, Drama, Romance",2008-11-20,37000000,393616788,8966
Brave,"Animation, Adventure, Comedy, Family, Action, Fantasy",2012-06-21,185000000,538983207,62177
Ant-Man and the Wasp,"Action, Adventure, Science Fiction",2018-07-04,140000000,622674139,363088
Maleficent,"Fantasy, Adventure, Action, Family, Romance",2014-05-28,180000000,758539785,102651
Passengers,"Drama, Romance, Science Fiction",2016-12-21,110000000,303144152,274870
Life of Pi,"Adventure, Drama",2012-11-20,120000000,609016565,87827
Ex Machina,"Drama, Science Fiction",2015-01-21,15000000,36869414,264660
The Amazing Spider-Man 2,"Action, Adventure, Fantasy",2014-04-16,200000000,708962323,102382
Blade Runner 2049,"Science Fiction, Drama",2017-10-04,150000000,259239658,335984
Ice Age,"Animation, Comedy, Family, Adventure",2002-03-10,59000000,383257136,425
Star Wars: Episode II - Attack of the Clones,"Adventure, Action, Science Fiction",2002-05-15,120000000,649398328,1894
Justice League,"Action, Adventure, Science Fiction",2017-11-15,300000000,657926987,141052
The Hobbit: The Desolation of Smaug,"Fantasy, Adventure, Action",2013-12-11,250000000,958400000,57158
Once Upon a Time… in Hollywood,"Comedy, Drama, Thriller",2019-07-24,95000000,374251247,466272
Life Is Beautiful,"Comedy, Drama",1997-12-20,20000000,230098753,637
X-Men: Apocalypse,"Action, Adventure, Science Fiction, Fantasy",2016-05-18,178000000,543934787,246655
Birdman or (The Unexpected Virtue of Ignorance),"Drama, Comedy",2014-10-17,18000000,103215094,194662
Divergent,"Action, Adventure, Science Fiction",2014-03-14,85000000,288885818,157350
American Sniper,"War, Action",2014-12-25,58800000,542307423,190859
How to Train Your Dragon,"Fantasy, Adventure, Animation, Family",2010-03-18,165000000,494879471,10191
Incredibles 2,"Action, Adventure, Animation, Family",2018-06-14,200000000,1242805359,260513
Edward Scissorhands,"Fantasy, Drama, Romance",1990-12-07,20000000,53000000,162
John Wick: Chapter 2,"Action, Thriller, Crime",2017-02-08,40000000,171539887,324552
X-Men: First Class,"Action, Science Fiction, Adventure",2011-06-01,160000000,353624124,49538
A Clockwork Orange,"Science Fiction, Drama",1971-12-19,2200000,26589000,185
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",2008-12-25,150000000,335802786,4922
The Terminator,"Action, Thriller, Science Fiction",1984-10-26,6400000,78371200,218
Back to the Future Part II,"Adventure, Comedy, Science Fiction",1989-11-22,40000000,332000000,165
Terminator 2: Judgment Day,"Action, Thriller, Science Fiction",1991-07-03,102000000,520000000,280
GoodFellas,"Drama, Crime",1990-09-12,25000000,46835000,769
Drive,"Drama, Thriller, Crime",2011-09-15,15000000,78054825,64690
Pacific Rim,"Action, Science Fiction, Adventure",2013-07-11,180000000,411002906,68726
The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Science Fiction",2015-11-18,160000000,653428261,131634
Wreck-It Ralph,"Family, Animation, Comedy, Adventure",2012-11-01,165000000,471222889,82690
Donnie Darko,"Fantasy, Drama, Mystery",2001-10-24,6000000,7500000,141
Ted,"Comedy, Fantasy",2012-06-29,50000000,549368315,72105
The Great Gatsby,"Drama, Romance",2013-05-09,105000000,351040419,64682
Moana,"Adventure, Comedy, Family, Animation",2016-10-13,150000000,690860472,277834
The Shape of Water,"Drama, Fantasy, Romance",2017-12-01,19500000,195333312,399055
Raiders of the Lost Ark,"Adventure, Action",1981-06-12,18000000,389925971,85
Zombieland,"Comedy, Horror",2009-10-07,23600000,102391540,19908
Finding Dory,"Adventure, Animation, Comedy, Family",2016-06-16,200000000,1028570889,127380
Me Before You,"Drama, Romance",2016-06-01,20000000,207945075,296096
1917,"War, History, Thriller",2019-12-25,100000000,394638258,530915
Call Me by Your Name,"Romance, Drama",2017-09-01,4000000,43143046,398818
Silver Linings Playbook,"Drama, Comedy, Romance",2012-11-16,21000000,236412453,82693
Shrek 2,"Animation, Family, Comedy, Fantasy, Adventure",2004-05-19,150000000,928760770,809
2012,"Action, Adventure, Science Fiction",2009-10-10,200000000,791217826,14161
The Godfather Part II,"Drama, Crime",1974-12-20,13000000,102600000,240
American Beauty,Drama,1999-09-15,15000000,356296601,14
Prometheus,"Science Fiction, Adventure, Mystery",2012-05-30,130000000,403354469,70981
The Social Network,Drama,2010-10-01,40000000,224920315,37799
Pirates of the Caribbean: Dead Men Tell No Tales,"Adventure, Action, Fantasy",2017-05-23,230000000,795922298,166426
Knives Out,"Comedy, Crime, Mystery",2019-11-27,40000000,312897920,546554
Good Will Hunting,Drama,1997-12-05,10000000,225933435,489
Fifty Shades of Grey,"Drama, Romance, Thriller",2015-02-11,40000000,571006128,216015
The Devil Wears Prada,"Comedy, Drama, Romance",2006-06-29,35000000,326706115,350
Taxi Driver,"Crime, Drama",1976-02-09,1900000,28600000,103
A Star Is Born,"Music, Drama, Romance",2018-10-03,36000000,433888866,332562
Fury,"War, Drama, Action",2014-10-15,68000000,211817906,228150
The Incredible Hulk,"Science Fiction, Action, Adventure",2008-06-12,150000000,163712074,1724
Kick-Ass,"Action, Crime",2010-03-22,28000000,96188903,23483
"I, Robot","Action, Science Fiction",2004-07-15,120000000,347234916,2048
No Country for Old Men,"Crime, Drama, Thriller",2007-06-13,25000000,171627166,6977
Rise of the Planet of the Apes,"Thriller, Action, Drama, Science Fiction",2011-08-03,93000000,482860185,61791
Ocean's Eleven,"Thriller, Crime",2001-12-07,85000000,450717150,161
The Sixth Sense,"Mystery, Thriller, Drama",1999-08-06,40000000,672806292,745
Amélie,"Comedy, Romance",2001-04-25,10000000,173921954,194
Scarface,"Action, Crime, Drama",1983-12-09,25000000,66023329,111
Prisoners,"Drama, Thriller, Crime",2013-09-19,46000000,122126687,146233
American History X,Drama,1998-07-01,20000000,23875127,73
The Conjuring,"Horror, Thriller",2013-07-18,13000000,320406242,138843
The Fault in Our Stars,"Romance, Drama",2014-05-16,14000000,307166834,222935
The Notebook,"Romance, Drama",2004-06-25,29000000,115603229,11036
12 Years a Slave,"Drama, History",2013-10-18,20000000,187000000,76203
2001: A Space Odyssey,"Science Fiction, Mystery, Adventure",1968-04-02,12000000,71923560,62
In Time,"Action, Thriller, Science Fiction",2011-10-27,40000000,173930596,49530
Aladdin,"Animation, Family, Adventure, Fantasy, Romance",1992-11-25,28000000,504050219,812
Green Book,"Drama, Comedy",2018-11-16,23000000,319700000,490132
Tangled,"Animation, Family",2010-11-24,260000000,592461732,38757
Cast Away,"Adventure, Drama",2000-12-22,90000000,429632142,8358
X-Men,"Adventure, Action, Science Fiction",2000-07-13,75000000,296339527,36657
Despicable Me 2,"Animation, Comedy, Family",2013-06-26,76000000,970761885,93456
Kung Fu Panda,"Action, Adventure, Animation, Family, Comedy",2008-06-04,130000000,631744560,9502
Transformers,"Adventure, Science Fiction, Action",2007-06-27,150000000,709709780,1858
E.T. the Extra-Terrestrial,"Science Fiction, Adventure, Family, Fantasy",1982-06-11,10500000,792965500,601
Taken,"Action, Thriller",2008-02-18,25000000,226830568,8681
Jurassic World: Fallen Kingdom,"Action, Adventure, Science Fiction, Thriller",2018-06-22,170000000,1310466296,351286
The Big Lebowski,"Comedy, Crime",1998-03-06,15000000,47010480,115
Dawn of the Planet of the Apes,"Science Fiction, Action, Drama, Thriller",2014-06-26,170000000,710644566,119450
Dead Poets Society,Drama,1989-06-02,16400000,235860116,207
Fantastic Beasts: The Crimes of Grindelwald,"Fantasy, Adventure, Family",2018-11-14,200000000,654855901,338952
Die Hard,"Action, Thriller",1988-07-15,28000000,140767956,562
Now You See Me 2,"Crime, Thriller, Action, Mystery",2016-06-02,90000000,334901337,291805
Home Alone,"Comedy, Family",1990-11-16,18000000,476684675,771
The Matrix Reloaded,"Adventure, Action, Thriller, Science Fiction",2003-05-15,150000000,738599701,604
Madagascar,"Family, Animation, Adventure, Comedy",2005-05-25,75000000,542063846,953
The Theory of Everything,"Drama, Romance",2014-11-26,15000000,123726688,266856
Nightcrawler,"Crime, Drama, Thriller",2014-10-23,8500000,50300000,242582
Fast & Furious 6,"Action, Thriller, Crime",2013-05-21,160000000,788680968,82992
Oblivion,"Action, Science Fiction, Adventure, Mystery",2013-04-10,120000000,286168572,75612
Bruce Almighty,"Fantasy, Comedy",2003-05-23,80000000,484592874,310
Gran Torino,Drama,2008-12-12,33000000,269958228,13223
Furious 7,"Action, Thriller, Crime",2015-04-01,190000000,1515341399,168259
Minions,"Family, Animation, Adventure, Comedy",2015-06-17,74000000,1156730962,211672
Casino Royale,"Adventure, Action, Thriller",2006-11-14,150000000,599045960,36557
The Fifth Element,"Adventure, Fantasy, Action, Thriller, Science Fiction",1997-05-02,90000000,263920180,18
Slumdog Millionaire,"Drama, Romance",2008-11-12,15000000,378410542,12405
Monsters University,"Animation, Family",2013-06-19,200000000,743559607,62211
Limitless,"Thriller, Mystery, Science Fiction",2011-03-08,27000000,161849455,51876
Spectre,"Action, Adventure, Thriller",2015-10-26,245000000,880674609,206647
The Perks of Being a Wallflower,Drama,2012-09-20,13000000,33400000,84892
Pan's Labyrinth,"Fantasy, Drama, War",2006-10-10,19000000,83258226,1417
Jumanji,"Adventure, Fantasy, Family",1995-12-15,65000000,262821940,8844
Avatar: The Way of Water,"Science Fiction, Adventure, Action",2022-12-14,460000000,2320250281,76600
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy",2005-12-07,180000000,745013115,411
X-Men Origins: Wolverine,"Adventure, Action, Thriller, Science Fiction",2009-04-28,150000000,373062864,2080
American Psycho,"Thriller, Drama, Crime",2000-04-13,7000000,34266564,1359
The Hangover Part II,Comedy,2011-05-25,80000000,586764305,45243
Sherlock Holmes: A Game of Shadows,"Adventure, Action, Crime, Mystery",2011-11-22,125000000,334615000,58574
The Fate of the Furious,"Action, Crime, Thriller",2017-04-12,250000000,1236005118,337339
John Wick: Chapter 3 - Parabellum,"Action, Thriller, Crime",2019-05-15,55000000,326709727,458156
Kong: Skull Island,"Action, Adventure, Fantasy",2017-03-08,185000000,566652812,293167
Back to the Future Part III,"Adventure, Comedy, Science Fiction",1990-05-25,40000000,244527583,196
Men in Black 3,"Action, Comedy, Science Fiction",2012-05-23,225000000,624026776,41154
Maze Runner: The Scorch Trials,"Science Fiction, Action, Thriller, Adventure",2015-09-09,61000000,312296056,294254
Full Metal Jacket,"Drama, War",1987-06-26,30000000,46357676,600
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Action, Crime",2020-02-05,75000000,205372791,495764
21 Jump Street,"Action, Comedy, Crime",2012-03-14,42000000,201585328,64688
One Flew Over the Cuckoo's Nest,Drama,1975-11-19,3000000,108981275,510
Looper,"Action, Thriller, Science Fiction",2012-09-26,30000000,47042000,59967
The Usual Suspects,"Drama, Crime, Thriller",1995-07-19,6000000,23341568,629
Zodiac,"Crime, Drama, Mystery, Thriller",2007-03-02,65000000,84785914,1949
Mr. & Mrs. Smith,"Action, Comedy, Drama, Thriller",2005-06-07,110000000,487287646,787
Kingsman: The Golden Circle,"Action, Adventure, Comedy",2017-09-20,104000000,410902662,343668
Jaws,"Horror, Thriller, Adventure",1975-06-20,7000000,470653000,578
Night at the Museum,"Action, Adventure, Comedy, Family, Fantasy",2006-12-20,110000000,574480841,1593
Insurgent,"Action, Adventure, Science Fiction, Thriller",2015-03-18,110000000,297002527,262500
A Beautiful Mind,"Drama, Romance",2001-12-11,58000000,316800000,453
Soul,"Animation, Family, Comedy, Fantasy, Drama",2020-12-25,150000000,136384442,508442
Aladdin,"Adventure, Fantasy, Romance, Family",2019-05-22,183000000,1054304000,420817
Dune,"Science Fiction, Adventure",2021-09-15,165000000,402027830,438631
"Three Billboards Outside Ebbing, Missouri","Crime, Drama",2017-12-01,15000000,160192031,359940
X2,"Adventure, Action, Science Fiction",2003-04-27,110000000,407711549,36658
The Mask,"Romance, Comedy, Crime, Fantasy",1994-07-29,23000000,351583407,854
Miss Peregrine's Home for Peculiar Children,"Fantasy, Adventure",2016-09-27,110000000,296482446,283366
Troy,"Adventure, History, War, Action",2004-05-13,175000000,497409852,652
(500) Days of Summer,"Comedy, Drama, Romance",2009-07-17,7500000,60781545,19913
Braveheart,"Action, Drama, History, War",1995-05-24,72000000,213216216,197
The Lion King,"Adventure, Drama, Family",2019-07-12,260000000,1663075401,420818
Star Trek,"Science Fiction, Action, Adventure",2009-05-06,150000000,385680446,13475
Indiana Jones and the Last Crusade,"Adventure, Action",1989-05-24,48000000,474171806,89
Black Widow,"Action, Adventure, Science Fiction",2021-07-07,200000000,379751131,497698
Psycho,"Horror, Drama, Thriller",1960-06-22,806947,32000000,539
Beauty and the Beast,"Romance, Family, Animation, Fantasy",1991-10-22,25000000,424967620,10020
Murder on the Orient Express,"Mystery, Drama, Crime",2017-11-03,55000000,352794081,392044
Men in Black II,"Action, Adventure, Comedy, Science Fiction",2002-07-03,140000000,445135288,608
Mission: Impossible - Ghost Protocol,"Action, Thriller, Adventure",2011-12-07,145000000,694713380,56292
The Fast and the Furious,"Action, Crime, Thriller",2001-06-22,38000000,207283925,9799
Venom: Let There Be Carnage,"Science Fiction, Action, Adventure",2021-09-30,110000000,506863592,580489
Requiem for a Dream,"Crime, Drama",2000-10-06,4500000,7390108,641
The Pursuit of Happyness,Drama,2006-12-14,55000000,307077295,1402
The Matrix Revolutions,"Adventure, Action, Thriller, Science Fiction",2003-11-05,150000000,424988211,605
Toy Story 4,"Family, Adventure, Animation, Comedy, Fantasy",2019-06-19,175000000,1073394593,301528
Ice Age: The Meltdown,"Animation, Family, Comedy, Adventure",2006-03-29,80000000,660998756,950
Godzilla vs. Kong,"Action, Science Fiction, Thriller",2021-03-24,200000000,470116094,399566
Frozen II,"Family, Animation, Adventure, Comedy, Fantasy",2019-11-20,150000000,1450026933,330457
